name,url,birth_year,death_year,origin,primary_style,source
Mozelle Alderson,https://en.wikipedia.org/wiki/Mozelle_Alderson,1904,1994,Ohio,Country blues,Wikipedia
"Alger ""Texas"" Alexander",https://en.wikipedia.org/wiki/Alger_%22Texas%22_Alexander,1900,1954,Texas,Country blues,Wikipedia
Ora Alexander,https://en.wikipedia.org/wiki/Ora_Alexander,c.1909,Unknown,Alabama,Classic female blues,Wikipedia
Albert Ammons,https://en.wikipedia.org/wiki/Albert_Ammons,1907,1949,Illinois,Boogie woogie,Wikipedia
Pink Anderson,https://en.wikipedia.org/wiki/Pink_Anderson,1900,1974,South Carolina,Piedmont blues,Wikipedia
Kokomo Arnold,https://en.wikipedia.org/wiki/Kokomo_Arnold,1901*,1968,Georgia,Acoustic blues,Wikipedia
Barbecue Bob,https://en.wikipedia.org/wiki/Barbecue_Bob,1902,1931,Georgia,Acoustic blues,Wikipedia
Ed Bell,https://en.wikipedia.org/wiki/Ed_Bell_(musician),1905,1960s,Alabama,Piedmont blues,Wikipedia
Gladys Bentley,https://en.wikipedia.org/wiki/Gladys_Bentley,1907,1960,Pennsylvania,Vaudeville blues,Wikipedia
Black Ace,https://en.wikipedia.org/wiki/Black_Ace,1905,1972,Texas,Country blues,Wikipedia
Scrapper Blackwell,https://en.wikipedia.org/wiki/Scrapper_Blackwell,1903,1962,North Carolina,Urban blues,Wikipedia
Blind Blake,https://en.wikipedia.org/wiki/Blind_Blake,1896,1934,Florida,Piedmont blues,Wikipedia
Lucille Bogan,https://en.wikipedia.org/wiki/Lucille_Bogan,1897,1948,Mississippi,Classic female blues,Wikipedia
Ted Bogan,https://en.wikipedia.org/wiki/Ted_Bogan,1909,1990,South Carolina,Country blues,Wikipedia
Son Bonds,https://en.wikipedia.org/wiki/Son_Bonds,1909,1947,Tennessee,Country blues,Wikipedia
Big Bill Broonzy,https://en.wikipedia.org/wiki/Big_Bill_Broonzy,1893*,1958,Mississippi,Urban blues,Wikipedia
Kitty Brown,https://en.wikipedia.org/wiki/Kitty_Brown,1899,Unknown,New York,Classic female blues,Wikipedia
Willie Brown,https://en.wikipedia.org/wiki/Willie_Brown_(musician),1900,1952,Mississippi,Delta blues,Wikipedia
Bumble Bee Slim,https://en.wikipedia.org/wiki/Bumble_Bee_Slim,1905,1968,Georgia,Urban blues,Wikipedia
Gus Cannon,https://en.wikipedia.org/wiki/Gus_Cannon,1883*,1979,Mississippi,Jug band,Wikipedia
Leroy Carr,https://en.wikipedia.org/wiki/Leroy_Carr,1905,1935,Tennessee,Urban blues,Wikipedia
Doctor Clayton,https://en.wikipedia.org/wiki/Doctor_Clayton,1898,1947,Georgia,Country blues,Wikipedia
Sam Collins,https://en.wikipedia.org/wiki/Sam_Collins_(musician),1887,1949,Louisiana,Country blues,Wikipedia
Elizabeth Cotten,https://en.wikipedia.org/wiki/Elizabeth_Cotten,1893,1987,North Carolina,Country blues,Wikipedia
Floyd Council,https://en.wikipedia.org/wiki/Floyd_Council,1911,1976,North Carolina,Piedmont blues,Wikipedia
Ida Cox,https://en.wikipedia.org/wiki/Ida_Cox,1896*,1967,Georgia,Vaudeville blues,Wikipedia
Blind Blues Darby,https://en.wikipedia.org/wiki/Teddy_Darby,1906,1975,Kentucky,St. Louis blues,Wikipedia
Reverend Gary Davis,https://en.wikipedia.org/wiki/Reverend_Gary_Davis,1896,1972,South Carolina,Piedmont blues,Wikipedia
Walter Davis,https://en.wikipedia.org/wiki/Walter_Davis_(blues),1911*,1963,Mississippi,St. Louis blues,Wikipedia
Tom Delaney,https://en.wikipedia.org/wiki/Tom_Delaney_(songwriter),1889,1963,South Carolina,Urban blues,Wikipedia
Georgia Tom Dorsey,https://en.wikipedia.org/wiki/Thomas_A._Dorsey,1899,1993,Georgia,Urban blues,Wikipedia
Little Buddy Doyle,https://en.wikipedia.org/wiki/Little_Buddy_Doyle,1911*,1960*,Tennessee,Memphis blues,Wikipedia
Bernice Edwards,https://en.wikipedia.org/wiki/Bernice_Edwards,1907,1969,Texas,Classic female blues,Wikipedia
Sleepy John Estes,https://en.wikipedia.org/wiki/Sleepy_John_Estes,1899*,1977,Tennessee,Country blues,Wikipedia
Ethel Finnie,https://en.wikipedia.org/wiki/Ethel_Finnie,1898,1981,Louisiana,Classic female blues,Wikipedia
Blind Boy Fuller,https://en.wikipedia.org/wiki/Blind_Boy_Fuller,1907*,1941,North Carolina,Piedmont blues,Wikipedia
Jesse Fuller,https://en.wikipedia.org/wiki/Jesse_Fuller,1896,1976,Georgia,Piedmont blues,Wikipedia
Jazz Gillum,https://en.wikipedia.org/wiki/Jazz_Gillum,1904*,1966,Mississippi,Urban blues,Wikipedia
Boyd Gilmore,https://en.wikipedia.org/wiki/Boyd_Gilmore,1905,1976,Mississippi,Delta blues,Wikipedia
Coot Grant,https://en.wikipedia.org/wiki/Coot_Grant,1893,1970,Alabama,Classic female blues,Wikipedia
Lil Green,https://en.wikipedia.org/wiki/Lil_Green,1919*,1954,Mississippi,Urban blues,Wikipedia
Shirley Griffith,https://en.wikipedia.org/wiki/Shirley_Griffith,1907,1974,Mississippi,Country blues,Wikipedia
"Richard ""Hacksaw"" Harney",https://en.wikipedia.org/wiki/Richard_%22Hacksaw%22_Harney,1902,1973,Mississippi,Delta blues,Wikipedia
Lucille Hegamin,https://en.wikipedia.org/wiki/Lucille_Hegamin,1897*,1970,Georgia,Classic female blues,Wikipedia
Edmonia Henderson,https://en.wikipedia.org/wiki/Edmonia_Henderson,1898,1947,Tennessee,Classic female blues,Wikipedia
Katherine Henderson,https://en.wikipedia.org/wiki/Katherine_Henderson_(singer),1909,Unknown,Missouri,Classic female blues,Wikipedia
Edna Hicks,https://en.wikipedia.org/wiki/Edna_Hicks,1895,1925,Louisiana,Classic female blues,Wikipedia
Son House,https://en.wikipedia.org/wiki/Son_House,1902,1988,Mississippi,Delta blues,Wikipedia
Peg Leg Howell,https://en.wikipedia.org/wiki/Peg_Leg_Howell,1888,1966,Georgia,Country blues,Wikipedia
Alberta Hunter,https://en.wikipedia.org/wiki/Alberta_Hunter,1895,1984,Tennessee,Classic female blues,Wikipedia
Mississippi John Hurt,https://en.wikipedia.org/wiki/Mississippi_John_Hurt,1894*,1966,Mississippi,Country blues,Wikipedia
Jim Jackson,https://en.wikipedia.org/wiki/Jim_Jackson_(musician),1890*,1937*,Mississippi,Country blues,Wikipedia
Papa Charlie Jackson,https://en.wikipedia.org/wiki/Papa_Charlie_Jackson,1890*,1950*,Louisiana,Country blues,Wikipedia
Skip James,https://en.wikipedia.org/wiki/Skip_James,1902,1969,Mississippi,Delta blues,Wikipedia
Blind Lemon Jefferson,https://en.wikipedia.org/wiki/Blind_Lemon_Jefferson,1893,1929,Texas,Country blues,Wikipedia
Blind Willie Johnson,https://en.wikipedia.org/wiki/Blind_Willie_Johnson,1897,1945,Texas,Gospel blues,Wikipedia
